Time	pre	pre	tem	tem
pre_1	pre_2	tem_1	tem_2
19750801/1200	0	2.4	4.1	4.5
19750802/1200	1.3	0	4.5	4.2
19750803/1200	0	0	5	4.7
19750804/1200	0	0	6.4	4.1
19750805/1200	1	3.5	3.4	3.7
19750806/1200	2.3	0.9	5.4	4.3
19750807/1200	0.5	0	5.8	5.1
19750808/1200	0	0	9.1	4.7
19750809/1200	0	0	5.9	5.5
19750810/1200	0	0	7	6.4
19750811/1200	0.4	0	10	8.1
19750812/1200	0	0	7	4.1
19750813/1200	0	0	7.5	4
19750814/1200	0	0	4.2	2.7
19750815/1200	0	0	4.4	4.4
19750816/1200	0	0	4.6	4.1
19750817/1200	0	0	4.7	3.8
19750818/1200	0	0	2.5	3.5
19750819/1200	0.2	0	4	3.2
19750820/1200	0.6	0	4	3.6
19750821/1200	0.4	0	3.6	3
19750822/1200	0.3	0	3.7	3
19750823/1200	0	0	3.1	2.9
19750824/1200	0	0	4.4	4.5
19750825/1200	0.2	0	4.8	4.4
19750826/1200	0.9	3.4	4.8	3.8
19750827/1200	0.1	4.6	5.3	5.1
19750828/1200	0	3.6	4.6	5.4
19750829/1200	0	0	5	4.6
19750830/1200	0	0	4.6	2.7
19750831/1200	0	0	3.4	3.2
19750901/1200	0	0	2.7	4.2
19750902/1200	0	0	2.6	2.6
19750903/1200	0	0.7	1.6	0.9
19750904/1200	0	0	3	2.3
19750905/1200	0	0	2.7	3.1
19750906/1200	0	0	1.5	1.6
19750907/1200	0	0	1.1	-0.1
19750908/1200	0	1.6	-1.9	-2.4
19750909/1200	3.2	5.3	-1.4	-1.1
19750910/1200	0	2.1	-2.1	-4.4
19750911/1200	0	0	0	-1.2
19750912/1200	0	0.7	2.8	2.3
19750913/1200	4.2	3.7	-0.1	-0.6
19750914/1200	0	1.2	-1.1	-1.7
19750915/1200	0.3	0.6	1.2	1.8
19750916/1200	0	0	2.8	2
19750917/1200	0	0	4.3	3.3
19750918/1200	0.3	0	4.4	3.1
19750919/1200	1.9	0.3	2.7	2.4
19750920/1200	1.3	0	0.3	-0.1
19750921/1200	0	0	0.3	1
19750922/1200	0.1	0	0.3	1.6
19750923/1200	0	0	-0.5	-0.6
19750924/1200	0	0	1.7	3.2
19750925/1200	0.1	0	1.4	1.3
19750926/1200	0	0	-2.5	-3.2
19750927/1200	0	0	-2.8	-4.1
19750928/1200	0.3	0	1.3	2.1
19750929/1200	2	0	2.7	4.3
19750930/1200	7.5	0	0.1	1.1
19751001/1200	4.3	3.5	-0.5	0.9
19751002/1200	0.4	0	-7	-4.2
19751003/1200	0	0	-2.5	-0.3
19751004/1200	0	0.4	0.2	0.2
19751005/1200	0	0	-2	-1.2
19751006/1200	0	0	-4.3	-5.2
19751007/1200	0	0	-3.8	-3.2
19751008/1200	0	2	-1	-2.7
19751009/1200	0	0	-0.9	-0.3
19751010/1200	0	0	-1.4	-3.4
19751011/1200	2	2.2	-5.7	-4.9
